protein	fraction	protein_containing
FABP3	E1	0
FABP3	E2	0
FABP3	E3	0
FABP3	E4	0
FABP3	E5	0
FABP3	E6	0
FABP3	E7	1
FABP3	E8	1
FABP3	E9	1
FABP3	E10	1
FABP3	E11	1
FABP3	E12	0
FABP3	F1	0
FABP3	F2	0
FABP3	F3	0
FABP3	F4	0
FABP3	F5	0
FABP3	F6	0
PITPNC1	G1	0
PITPNC1	G2	0
PITPNC1	G3	0
PITPNC1	G4	0
PITPNC1	G5	0
PITPNC1	G6	1
PITPNC1	G7	1
PITPNC1	G8	1
PITPNC1	G9	1
PITPNC1	G10	1
PITPNC1	G11	0
PITPNC1	G12	0
PITPNC1	H1	0
PITPNC1	H2	0
PITPNC1	H3	0
PITPNC1	H4	0
PITPNC1	H5	0
PITPNC1	H6	0
SCP2D1	G1	0
SCP2D1	G2	0
SCP2D1	G3	0
SCP2D1	G4	0
SCP2D1	G5	0
SCP2D1	G6	0
SCP2D1	G7	1
SCP2D1	G8	1
SCP2D1	G9	1
SCP2D1	G10	1
SCP2D1	G11	0
SCP2D1	G12	0
SCP2D1	H1	0
SCP2D1	H2	0
SCP2D1	H3	0
SCP2D1	H4	0
SCP2D1	H5	0
SCP2D1	H6	0
FABP4	G1	0
FABP4	G2	0
FABP4	G3	0
FABP4	G4	0
FABP4	G5	0
FABP4	G6	0
FABP4	G7	0
FABP4	G8	0
FABP4	G9	1
FABP4	G10	1
FABP4	G11	1
FABP4	G12	1
FABP4	H1	0
FABP4	H2	0
FABP4	H3	0
FABP4	H4	0
FABP4	H5	0
FABP4	H6	0
TTPA	E1	0
TTPA	E2	0
TTPA	E3	0
TTPA	E4	1
TTPA	E5	1
TTPA	E6	1
TTPA	E7	1
TTPA	E8	1
TTPA	E9	1
TTPA	E10	0
TTPA	E11	0
TTPA	E12	0
TTPA	F1	0
TTPA	F2	0
TTPA	F3	0
TTPA	F4	0
TTPA	F5	0
TTPA	F6	0
ARGHGAP1	A1	0
ARGHGAP1	A2	1
ARGHGAP1	A3	1
ARGHGAP1	A4	0
ARGHGAP1	A5	0
ARGHGAP1	A6	0
ARGHGAP1	A7	0
ARGHGAP1	A8	0
ARGHGAP1	A9	0
ARGHGAP1	A10	1
ARGHGAP1	A11	1
ARGHGAP1	A12	0
ARGHGAP1	B1	0
ARGHGAP1	B2	1
ARGHGAP1	B3	1
ARGHGAP1	B4	0
ARGHGAP1	B5	0
ARGHGAP1	B6	0
FABP1	C1	0
FABP1	C2	0
FABP1	C3	0
FABP1	C4	0
FABP1	C5	0
FABP1	C6	0
FABP1	C7	1
FABP1	C8	1
FABP1	C9	1
FABP1	C10	1
FABP1	C11	1
FABP1	C12	0
FABP1	D1	0
FABP1	D2	0
FABP1	D3	0
FABP1	D4	0
FABP1	D5	0
FABP1	D6	0
LCN8	A1	0
LCN8	A2	0
LCN8	A3	0
LCN8	A4	0
LCN8	A5	0
LCN8	A6	0
LCN8	A7	0
LCN8	A8	1
LCN8	A9	1
LCN8	A10	1
LCN8	A11	1
LCN8	A12	1
LCN8	B1	0
LCN8	B2	0
LCN8	B3	0
LCN8	B4	0
LCN8	B5	0
LCN8	B6	0
OBP2B	E1	0
OBP2B	E2	0
OBP2B	E3	0
OBP2B	E4	0
OBP2B	E5	1
OBP2B	E6	1
OBP2B	E7	1
OBP2B	E8	1
OBP2B	E9	1
OBP2B	E10	1
OBP2B	E11	1
OBP2B	E12	1
OBP2B	F1	1
OBP2B	F2	1
OBP2B	F3	1
OBP2B	F4	0
OBP2B	F5	0
OBP2B	F6	0
FABP5P3	C1	0
FABP5P3	C2	0
FABP5P3	C3	0
FABP5P3	C4	0
FABP5P3	C5	1
FABP5P3	C6	1
FABP5P3	C7	1
FABP5P3	C8	1
FABP5P3	C9	0
FABP5P3	C10	0
FABP5P3	C11	0
FABP5P3	C12	0
FABP5P3	D1	0
FABP5P3	D2	0
FABP5P3	D3	0
FABP5P3	D4	0
FABP5P3	D5	0
FABP5P3	D6	0
ORP5	A1	0
ORP5	A2	0
ORP5	A3	0
ORP5	A4	1
ORP5	A5	1
ORP5	A6	1
ORP5	A7	1
ORP5	A8	1
ORP5	A9	0
ORP5	A10	0
ORP5	A11	0
ORP5	A12	0
ORP5	B1	0
ORP5	B2	0
ORP5	B3	0
ORP5	B4	0
ORP5	B5	0
ORP5	B6	0
FABP7	G1	0
FABP7	G2	0
FABP7	G3	0
FABP7	G4	0
FABP7	G5	0
FABP7	G6	0
FABP7	G7	1
FABP7	G8	1
FABP7	G9	1
FABP7	G10	1
FABP7	G11	1
FABP7	G12	0
FABP7	H1	0
FABP7	H2	0
FABP7	H3	0
FABP7	H4	0
FABP7	H5	0
FABP7	H6	0
BNIP2	A1	0
BNIP2	A2	0
BNIP2	A3	0
BNIP2	A4	0
BNIP2	A5	0
BNIP2	A6	0
BNIP2	A7	0
BNIP2	A8	1
BNIP2	A9	1
BNIP2	A10	1
BNIP2	A11	0
BNIP2	A12	0
BNIP2	B1	0
BNIP2	B2	0
BNIP2	B3	0
BNIP2	B4	0
BNIP2	B5	0
BNIP2	B6	0
GDAP2	E1	0
GDAP2	E2	0
GDAP2	E3	0
GDAP2	E4	0
GDAP2	E5	0
GDAP2	E6	1
GDAP2	E7	1
GDAP2	E8	1
GDAP2	E9	1
GDAP2	E10	0
GDAP2	E11	0
GDAP2	E12	0
GDAP2	F1	0
GDAP2	F2	0
GDAP2	F3	0
GDAP2	F4	0
GDAP2	F5	0
GDAP2	F6	0
TTPAL	G1	0
TTPAL	G2	0
TTPAL	G3	0
TTPAL	G4	1
TTPAL	G5	1
TTPAL	G6	1
TTPAL	G7	1
TTPAL	G8	0
TTPAL	G9	0
TTPAL	G10	0
TTPAL	G11	0
TTPAL	G12	0
TTPAL	H1	0
TTPAL	H2	0
TTPAL	H3	0
TTPAL	H4	0
TTPAL	H5	0
TTPAL	H6	0
OBP2A	C1	0
OBP2A	C2	0
OBP2A	C3	0
OBP2A	C4	0
OBP2A	C5	0
OBP2A	C6	1
OBP2A	C7	1
OBP2A	C8	1
OBP2A	C9	1
OBP2A	C10	1
OBP2A	C11	1
OBP2A	C12	1
OBP2A	D1	1
OBP2A	D2	1
OBP2A	D3	1
OBP2A	D4	1
OBP2A	D5	0
OBP2A	D6	0
FABP6	A1	0
FABP6	A2	0
FABP6	A3	0
FABP6	A4	0
FABP6	A5	0
FABP6	A6	0
FABP6	A7	1
FABP6	A8	1
FABP6	A9	1
FABP6	A10	1
FABP6	A11	1
FABP6	A12	0
FABP6	B1	0
FABP6	B2	0
FABP6	B3	0
FABP6	B4	0
FABP6	B5	0
FABP6	B6	0
RBP1	C1	0
RBP1	C2	0
RBP1	C3	0
RBP1	C4	0
RBP1	C5	0
RBP1	C6	0
RBP1	C7	1
RBP1	C8	1
RBP1	C9	1
RBP1	C10	1
RBP1	C11	1
RBP1	C12	0
RBP1	D1	0
RBP1	D2	0
RBP1	D3	0
RBP1	D4	0
RBP1	D5	0
RBP1	D6	0
STARD6	C1	0
STARD6	C2	0
STARD6	C3	0
STARD6	C4	0
STARD6	C5	0
STARD6	C6	0
STARD6	C7	1
STARD6	C8	1
STARD6	C9	1
STARD6	C10	1
STARD6	C11	1
STARD6	C12	0
STARD6	D1	0
STARD6	D2	0
STARD6	D3	0
STARD6	D4	0
STARD6	D5	0
STARD6	D6	0
MOSPD2	C1	0
MOSPD2	C2	0
MOSPD2	C3	0
MOSPD2	C4	0
MOSPD2	C5	0
MOSPD2	C6	0
MOSPD2	C7	0
MOSPD2	C8	0
MOSPD2	C9	0
MOSPD2	C10	1
MOSPD2	C11	1
MOSPD2	C12	1
MOSPD2	D1	0
MOSPD2	D2	0
MOSPD2	D3	0
MOSPD2	D4	0
MOSPD2	D5	0
MOSPD2	D6	0
STARD2	E1	0
STARD2	E2	0
STARD2	E3	0
STARD2	E4	0
STARD2	E5	0
STARD2	E6	0
STARD2	E7	1
STARD2	E8	1
STARD2	E9	1
STARD2	E10	1
STARD2	E11	1
STARD2	E12	0
STARD2	F1	0
STARD2	F2	0
STARD2	F3	0
STARD2	F4	0
STARD2	F5	0
STARD2	F6	0
RBP7	C1	0
RBP7	C2	0
RBP7	C3	0
RBP7	C4	0
RBP7	C5	0
RBP7	C6	0
RBP7	C7	0
RBP7	C8	1
RBP7	C9	1
RBP7	C10	1
RBP7	C11	1
RBP7	C12	0
RBP7	D1	0
RBP7	D2	0
RBP7	D3	0
RBP7	D4	0
RBP7	D5	0
RBP7	D6	0
ORP3	C1	0
ORP3	C2	0
ORP3	C3	1
ORP3	C4	1
ORP3	C5	1
ORP3	C6	1
ORP3	C7	1
ORP3	C8	1
ORP3	C9	1
ORP3	C10	1
ORP3	C11	1
ORP3	C12	1
ORP3	D1	0
ORP3	D2	1
ORP3	D3	0
ORP3	D4	0
ORP3	D5	0
ORP3	D6	0
ARHGAP1	A1	0
ARHGAP1	A2	1
ARHGAP1	A3	1
ARHGAP1	A4	0
ARHGAP1	A5	0
ARHGAP1	A6	0
ARHGAP1	A7	0
ARHGAP1	A8	0
ARHGAP1	A9	0
ARHGAP1	A10	1
ARHGAP1	A11	1
ARHGAP1	A12	0
ARHGAP1	B1	0
ARHGAP1	B2	1
ARHGAP1	B3	1
ARHGAP1	B4	0
ARHGAP1	B5	0
ARHGAP1	B6	0
ORP10	C1	0
ORP10	C2	0
ORP10	C3	0
ORP10	C4	0
ORP10	C5	1
ORP10	C6	1
ORP10	C7	1
ORP10	C8	1
ORP10	C9	1
ORP10	C10	1
ORP10	C11	0
ORP10	C12	0
ORP10	D1	0
ORP10	D2	0
ORP10	D3	0
ORP10	D4	0
ORP10	D5	0
ORP10	D6	0
ORP2	A1	0
ORP2	A2	0
ORP2	A3	0
ORP2	A4	0
ORP2	A5	0
ORP2	A6	1
ORP2	A7	1
ORP2	A8	1
ORP2	A9	1
ORP2	A10	1
ORP2	A11	1
ORP2	A12	1
ORP2	B1	1
ORP2	B2	1
ORP2	B3	0
ORP2	B4	0
ORP2	B5	0
ORP2	B6	0
STARD3	E1	0
STARD3	E2	0
STARD3	E3	0
STARD3	E4	0
STARD3	E5	1
STARD3	E6	1
STARD3	E7	1
STARD3	E8	1
STARD3	E9	0
STARD3	E10	0
STARD3	E11	0
STARD3	E12	0
STARD3	F1	0
STARD3	F2	0
STARD3	F3	0
STARD3	F4	0
STARD3	F5	0
STARD3	F6	0
GM2	G1	0
GM2	G2	0
GM2	G3	0
GM2	G4	0
GM2	G5	1
GM2	G6	1
GM2	G7	1
GM2	G8	1
GM2	G9	1
GM2	G10	1
GM2	G11	1
GM2	G12	1
GM2	H1	0
GM2	H2	1
GM2	H3	0
GM2	H4	0
GM2	H5	0
GM2	H6	0
PMP2	E1	0
PMP2	E2	0
PMP2	E3	0
PMP2	E4	0
PMP2	E5	0
PMP2	E6	0
PMP2	E7	1
PMP2	E8	1
PMP2	E9	1
PMP2	E10	1
PMP2	E11	1
PMP2	E12	0
PMP2	F1	0
PMP2	F2	0
PMP2	F3	0
PMP2	F4	0
PMP2	F5	0
PMP2	F6	0
PLEKHA8P1	G1	0
PLEKHA8P1	G2	0
PLEKHA8P1	G3	0
PLEKHA8P1	G4	1
PLEKHA8P1	G5	1
PLEKHA8P1	G6	1
PLEKHA8P1	G7	1
PLEKHA8P1	G8	1
PLEKHA8P1	G9	0
PLEKHA8P1	G10	0
PLEKHA8P1	G11	0
PLEKHA8P1	G12	0
PLEKHA8P1	H1	0
PLEKHA8P1	H2	0
PLEKHA8P1	H3	0
PLEKHA8P1	H4	0
PLEKHA8P1	H5	0
PLEKHA8P1	H6	0
STARD1	E1	0
STARD1	E2	0
STARD1	E3	0
STARD1	E4	1
STARD1	E5	1
STARD1	E6	1
STARD1	E7	1
STARD1	E8	1
STARD1	E9	0
STARD1	E10	0
STARD1	E11	0
STARD1	E12	0
STARD1	F1	0
STARD1	F2	0
STARD1	F3	0
STARD1	F4	0
STARD1	F5	0
STARD1	F6	0
SCP2	A1	0
SCP2	A2	0
SCP2	A3	0
SCP2	A4	1
SCP2	A5	1
SCP2	A6	1
SCP2	A7	1
SCP2	A8	1
SCP2	A9	0
SCP2	A10	0
SCP2	A11	0
SCP2	A12	0
SCP2	B1	0
SCP2	B2	0
SCP2	B3	0
SCP2	B4	0
SCP2	B5	0
SCP2	B6	0
CRABP2	E1	0
CRABP2	E2	0
CRABP2	E3	0
CRABP2	E4	0
CRABP2	E5	0
CRABP2	E6	0
CRABP2	E7	1
CRABP2	E8	1
CRABP2	E9	1
CRABP2	E10	1
CRABP2	E11	1
CRABP2	E12	0
CRABP2	F1	0
CRABP2	F2	0
CRABP2	F3	0
CRABP2	F4	0
CRABP2	F5	0
CRABP2	F6	0
STARD5	A1	0
STARD5	A2	0
STARD5	A3	0
STARD5	A4	0
STARD5	A5	0
STARD5	A6	0
STARD5	A7	1
STARD5	A8	1
STARD5	A9	1
STARD5	A10	1
STARD5	A11	0
STARD5	A12	0
STARD5	B1	0
STARD5	B2	0
STARD5	B3	0
STARD5	B4	0
STARD5	B5	0
STARD5	B6	0
NPC2	E1	0
NPC2	E2	0
NPC2	E3	0
NPC2	E4	0
NPC2	E5	0
NPC2	E6	1
NPC2	E7	1
NPC2	E8	1
NPC2	E9	1
NPC2	E10	1
NPC2	E11	1
NPC2	E12	1
NPC2	F1	1
NPC2	F2	1
NPC2	F3	1
NPC2	F4	1
NPC2	F5	0
NPC2	F6	0
SEC14L	C1	0
SEC14L	C2	0
SEC14L	C3	0
SEC14L	C4	0
SEC14L	C5	0
SEC14L	C6	0
SEC14L	C7	0
SEC14L	C8	1
SEC14L	C9	1
SEC14L	C10	1
SEC14L	C11	0
SEC14L	C12	0
SEC14L	D1	0
SEC14L	D2	1
SEC14L	D3	0
SEC14L	D4	0
SEC14L	D5	0
SEC14L	D6	0
GLT	G1	0
GLT	G2	0
GLT	G3	0
GLT	G4	0
GLT	G5	0
GLT	G6	0
GLT	G7	1
GLT	G8	1
GLT	G9	1
GLT	G10	1
GLT	G11	0
GLT	G12	0
GLT	H1	0
GLT	H2	0
GLT	H3	0
GLT	H4	0
GLT	H5	0
GLT	H6	0
PITPNB	G1	0
PITPNB	G2	0
PITPNB	G3	0
PITPNB	G4	0
PITPNB	G5	0
PITPNB	G6	0
PITPNB	G7	0
PITPNB	G8	1
PITPNB	G9	1
PITPNB	G10	1
PITPNB	G11	1
PITPNB	G12	1
PITPNB	H1	0
PITPNB	H2	0
PITPNB	H3	0
PITPNB	H4	0
PITPNB	H5	0
PITPNB	H6	0
PITPNA	A1	0
PITPNA	A2	0
PITPNA	A3	0
PITPNA	A4	0
PITPNA	A5	0
PITPNA	A6	1
PITPNA	A7	1
PITPNA	A8	1
PITPNA	A9	1
PITPNA	A10	1
PITPNA	A11	1
PITPNA	A12	1
PITPNA	B1	0
PITPNA	B2	0
PITPNA	B3	0
PITPNA	B4	0
PITPNA	B5	0
PITPNA	B6	0
ATCAY	E1	0
ATCAY	E2	0
ATCAY	E3	0
ATCAY	E4	0
ATCAY	E5	1
ATCAY	E6	1
ATCAY	E7	1
ATCAY	E8	0
ATCAY	E9	0
ATCAY	E10	0
ATCAY	E11	0
ATCAY	E12	0
ATCAY	F1	0
ATCAY	F2	0
ATCAY	F3	0
ATCAY	F4	0
ATCAY	F5	0
ATCAY	F6	0
GLTPD	E1	0
GLTPD	E2	0
GLTPD	E3	0
GLTPD	E4	0
GLTPD	E5	0
GLTPD	E6	0
GLTPD	E7	1
GLTPD	E8	1
GLTPD	E9	1
GLTPD	E10	1
GLTPD	E11	0
GLTPD	E12	0
GLTPD	F1	0
GLTPD	F2	0
GLTPD	F3	0
GLTPD	F4	0
GLTPD	F5	0
GLTPD	F6	0
STARD15	A1	0
STARD15	A2	0
STARD15	A3	0
STARD15	A4	0
STARD15	A5	0
STARD15	A6	1
STARD15	A7	1
STARD15	A8	1
STARD15	A9	1
STARD15	A10	1
STARD15	A11	1
STARD15	A12	1
STARD15	B1	0
STARD15	B2	1
STARD15	B3	0
STARD15	B4	0
STARD15	B5	0
STARD15	B6	0
GM2A	G1	0
GM2A	G2	0
GM2A	G3	0
GM2A	G4	0
GM2A	G5	0
GM2A	G6	0
GM2A	G7	0
GM2A	G8	0
GM2A	G9	1
GM2A	G10	1
GM2A	G11	1
GM2A	G12	1
GM2A	H1	0
GM2A	H2	0
GM2A	H3	0
GM2A	H4	0
GM2A	H5	0
GM2A	H6	0
STARD4	A1	0
STARD4	A2	0
STARD4	A3	0
STARD4	A4	0
STARD4	A5	0
STARD4	A6	0
STARD4	A7	1
STARD4	A8	1
STARD4	A9	1
STARD4	A10	1
STARD4	A11	0
STARD4	A12	0
STARD4	B1	0
STARD4	B2	0
STARD4	B3	0
STARD4	B4	0
STARD4	B5	0
STARD4	B6	0
CLVS1	A1	0
CLVS1	A2	0
CLVS1	A3	0
CLVS1	A4	1
CLVS1	A5	1
CLVS1	A6	1
CLVS1	A7	1
CLVS1	A8	1
CLVS1	A9	0
CLVS1	A10	0
CLVS1	A11	0
CLVS1	A12	0
CLVS1	B1	0
CLVS1	B2	0
CLVS1	B3	0
CLVS1	B4	0
CLVS1	B5	0
CLVS1	B6	0
RBP2	A1	0
RBP2	A2	0
RBP2	A3	0
RBP2	A4	0
RBP2	A5	0
RBP2	A6	0
RBP2	A7	1
RBP2	A8	1
RBP2	A9	1
RBP2	A10	1
RBP2	A11	1
RBP2	A12	0
RBP2	B1	0
RBP2	B2	0
RBP2	B3	0
RBP2	B4	0
RBP2	B5	0
RBP2	B6	0
BNIPL	C1	0
BNIPL	C2	0
BNIPL	C3	0
BNIPL	C4	0
BNIPL	C5	0
BNIPL	C6	0
BNIPL	C7	1
BNIPL	C8	1
BNIPL	C9	1
BNIPL	C10	0
BNIPL	C11	0
BNIPL	C12	0
BNIPL	D1	0
BNIPL	D2	0
BNIPL	D3	0
BNIPL	D4	0
BNIPL	D5	0
BNIPL	D6	0
FABP2	C1	0
FABP2	C2	0
FABP2	C3	0
FABP2	C4	0
FABP2	C5	0
FABP2	C6	0
FABP2	C7	1
FABP2	C8	1
FABP2	C9	1
FABP2	C10	1
FABP2	C11	1
FABP2	C12	0
FABP2	D1	0
FABP2	D2	0
FABP2	D3	0
FABP2	D4	0
FABP2	D5	0
FABP2	D6	0
SEC14L2	C1	0
SEC14L2	C2	0
SEC14L2	C3	0
SEC14L2	C4	0
SEC14L2	C5	0
SEC14L2	C6	0
SEC14L2	C7	1
SEC14L2	C8	1
SEC14L2	C9	1
SEC14L2	C10	1
SEC14L2	C11	1
SEC14L2	C12	0
SEC14L2	D1	0
SEC14L2	D2	0
SEC14L2	D3	0
SEC14L2	D4	0
SEC14L2	D5	0
SEC14L2	D6	0
FABP5	G1	0
FABP5	G2	0
FABP5	G3	0
FABP5	G4	0
FABP5	G5	0
FABP5	G6	0
FABP5	G7	1
FABP5	G8	1
FABP5	G9	1
FABP5	G10	1
FABP5	G11	0
FABP5	G12	0
FABP5	H1	0
FABP5	H2	0
FABP5	H3	0
FABP5	H4	0
FABP5	H5	0
FABP5	H6	0
HSDL	A1	0
HSDL	A2	0
HSDL	A3	0
HSDL	A4	1
HSDL	A5	1
HSDL	A6	1
HSDL	A7	0
HSDL	A8	0
HSDL	A9	0
HSDL	A10	0
HSDL	A11	0
HSDL	A12	0
HSDL	B1	0
HSDL	B2	0
HSDL	B3	0
HSDL	B4	0
HSDL	B5	0
HSDL	B6	0
SEC14L5	A1	0
SEC14L5	A2	0
SEC14L5	A3	0
SEC14L5	A4	1
SEC14L5	A5	1
SEC14L5	A6	1
SEC14L5	A7	1
SEC14L5	A8	1
SEC14L5	A9	0
SEC14L5	A10	0
SEC14L5	A11	0
SEC14L5	A12	0
SEC14L5	B1	0
SEC14L5	B2	0
SEC14L5	B3	0
SEC14L5	B4	0
SEC14L5	B5	0
SEC14L5	B6	0
ORP4	C1	0
ORP4	C2	0
ORP4	C3	0
ORP4	C4	1
ORP4	C5	1
ORP4	C6	1
ORP4	C7	1
ORP4	C8	1
ORP4	C9	0
ORP4	C10	0
ORP4	C11	0
ORP4	C12	0
ORP4	D1	0
ORP4	D2	0
ORP4	D3	0
ORP4	D4	0
ORP4	D5	0
ORP4	D6	0
PTPN9	G1	0
PTPN9	G2	1
PTPN9	G3	1
PTPN9	G4	1
PTPN9	G5	1
PTPN9	G6	1
PTPN9	G7	1
PTPN9	G8	1
PTPN9	G9	1
PTPN9	G10	1
PTPN9	G11	1
PTPN9	G12	1
PTPN9	H1	1
PTPN9	H2	1
PTPN9	H3	1
PTPN9	H4	0
PTPN9	H5	0
PTPN9	H6	0
HSD17B4	E1	0
HSD17B4	E2	0
HSD17B4	E3	1
HSD17B4	E4	1
HSD17B4	E5	1
HSD17B4	E6	1
HSD17B4	E7	1
HSD17B4	E8	1
HSD17B4	E9	1
HSD17B4	E10	1
HSD17B4	E11	1
HSD17B4	E12	1
HSD17B4	F1	1
HSD17B4	F2	1
HSD17B4	F3	1
HSD17B4	F4	0
HSD17B4	F5	0
HSD17B4	F6	0
STARD10	C1	0
STARD10	C2	0
STARD10	C3	0
STARD10	C4	0
STARD10	C5	0
STARD10	C6	1
STARD10	C7	1
STARD10	C8	1
STARD10	C9	1
STARD10	C10	1
STARD10	C11	0
STARD10	C12	0
STARD10	D1	0
STARD10	D2	0
STARD10	D3	0
STARD10	D4	0
STARD10	D5	0
STARD10	D6	0
GLTPD1	E1	0
GLTPD1	E2	0
GLTPD1	E3	0
GLTPD1	E4	0
GLTPD1	E5	0
GLTPD1	E6	1
GLTPD1	E7	1
GLTPD1	E8	1
GLTPD1	E9	1
GLTPD1	E10	1
GLTPD1	E11	0
GLTPD1	E12	0
GLTPD1	F1	0
GLTPD1	F2	0
GLTPD1	F3	0
GLTPD1	F4	0
GLTPD1	F5	0
GLTPD1	F6	0
CLVS2	C1	0
CLVS2	C2	0
CLVS2	C3	0
CLVS2	C4	0
CLVS2	C5	0
CLVS2	C6	1
CLVS2	C7	1
CLVS2	C8	1
CLVS2	C9	1
CLVS2	C10	1
CLVS2	C11	1
CLVS2	C12	0
CLVS2	D1	0
CLVS2	D2	0
CLVS2	D3	0
CLVS2	D4	0
CLVS2	D5	0
CLVS2	D6	0
LCN15	G1	0
LCN15	G2	0
LCN15	G3	0
LCN15	G4	1
LCN15	G5	1
LCN15	G6	1
LCN15	G7	1
LCN15	G8	1
LCN15	G9	0
LCN15	G10	0
LCN15	G11	0
LCN15	G12	0
LCN15	H1	0
LCN15	H2	0
LCN15	H3	0
LCN15	H4	0
LCN15	H5	0
LCN15	H6	0
PLEKHA8	G1	0
PLEKHA8	G2	0
PLEKHA8	G3	0
PLEKHA8	G4	1
PLEKHA8	G5	1
PLEKHA8	G6	1
PLEKHA8	G7	1
PLEKHA8	G8	1
PLEKHA8	G9	0
PLEKHA8	G10	0
PLEKHA8	G11	0
PLEKHA8	G12	0
PLEKHA8	H1	0
PLEKHA8	H2	0
PLEKHA8	H3	0
PLEKHA8	H4	0
PLEKHA8	H5	0
PLEKHA8	H6	0
RBP5	A1	0
RBP5	A2	0
RBP5	A3	0
RBP5	A4	0
RBP5	A5	0
RBP5	A6	0
RBP5	A7	0
RBP5	A8	0
RBP5	A9	1
RBP5	A10	1
RBP5	A11	1
RBP5	A12	1
RBP5	B1	0
RBP5	B2	0
RBP5	B3	0
RBP5	B4	0
RBP5	B5	0
RBP5	B6	0
RLBP1	E1	0
RLBP1	E2	0
RLBP1	E3	0
RLBP1	E4	1
RLBP1	E5	1
RLBP1	E6	1
RLBP1	E7	1
RLBP1	E8	1
RLBP1	E9	0
RLBP1	E10	0
RLBP1	E11	0
RLBP1	E12	0
RLBP1	F1	0
RLBP1	F2	0
RLBP1	F3	0
RLBP1	F4	0
RLBP1	F5	0
RLBP1	F6	0
STARD14	G1	0
STARD14	G2	0
STARD14	G3	1
STARD14	G4	1
STARD14	G5	1
STARD14	G6	1
STARD14	G7	1
STARD14	G8	1
STARD14	G9	1
STARD14	G10	1
STARD14	G11	1
STARD14	G12	1
STARD14	H1	1
STARD14	H2	1
STARD14	H3	1
STARD14	H4	1
STARD14	H5	0
STARD14	H6	0
GLTP	G1	0
GLTP	G2	0
GLTP	G3	0
GLTP	G4	0
GLTP	G5	0
GLTP	G6	1
GLTP	G7	1
GLTP	G8	1
GLTP	G9	1
GLTP	G10	1
GLTP	G11	1
GLTP	G12	0
GLTP	H1	0
GLTP	H2	0
GLTP	H3	0
GLTP	H4	0
GLTP	H5	0
GLTP	H6	0
SEC14L4	E1	0
SEC14L4	E2	0
SEC14L4	E3	0
SEC14L4	E4	0
SEC14L4	E5	0
SEC14L4	E6	0
SEC14L4	E7	1
SEC14L4	E8	1
SEC14L4	E9	1
SEC14L4	E10	1
SEC14L4	E11	0
SEC14L4	E12	0
SEC14L4	F1	0
SEC14L4	F2	0
SEC14L4	F3	0
SEC14L4	F4	0
SEC14L4	F5	0
SEC14L4	F6	0
BPIFB1	G1	0
BPIFB1	G2	1
BPIFB1	G3	1
BPIFB1	G4	1
BPIFB1	G5	1
BPIFB1	G6	1
BPIFB1	G7	1
BPIFB1	G8	1
BPIFB1	G9	1
BPIFB1	G10	1
BPIFB1	G11	1
BPIFB1	G12	0
BPIFB1	H1	0
BPIFB1	H2	1
BPIFB1	H3	0
BPIFB1	H4	0
BPIFB1	H5	0
BPIFB1	H6	0
HSDL2	A1	0
HSDL2	A2	0
HSDL2	A3	0
HSDL2	A4	1
HSDL2	A5	1
HSDL2	A6	1
HSDL2	A7	1
HSDL2	A8	0
HSDL2	A9	0
HSDL2	A10	0
HSDL2	A11	0
HSDL2	A12	0
HSDL2	B1	0
HSDL2	B2	0
HSDL2	B3	0
HSDL2	B4	0
HSDL2	B5	0
HSDL2	B6	0
ORP9	E1	0
ORP9	E2	0
ORP9	E3	0
ORP9	E4	1
ORP9	E5	1
ORP9	E6	1
ORP9	E7	1
ORP9	E8	1
ORP9	E9	0
ORP9	E10	0
ORP9	E11	0
ORP9	E12	0
ORP9	F1	0
ORP9	F2	0
ORP9	F3	0
ORP9	F4	0
ORP9	F5	0
ORP9	F6	0
SEC14L3	G1	0
SEC14L3	G2	0
SEC14L3	G3	0
SEC14L3	G4	0
SEC14L3	G5	0
SEC14L3	G6	0
SEC14L3	G7	1
SEC14L3	G8	1
SEC14L3	G9	1
SEC14L3	G10	1
SEC14L3	G11	1
SEC14L3	G12	0
SEC14L3	H1	0
SEC14L3	H2	0
SEC14L3	H3	0
SEC14L3	H4	0
SEC14L3	H5	0
SEC14L3	H6	0