Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,gltpd1_a11_pos m/z,gltpd1_a11_pos RT mean,gltpd1_a11_pos Normalized Area,gltpd1_a12_pos m/z,gltpd1_a12_pos RT mean,gltpd1_a12_pos Normalized Area,gltpd1_a09_pos m/z,gltpd1_a09_pos RT mean,gltpd1_a09_pos Normalized Area,gltpd1_a10_pos m/z,gltpd1_a10_pos RT mean,gltpd1_a10_pos Normalized Area,gltpd1_b01_pos m/z,gltpd1_b01_pos RT mean,gltpd1_b01_pos Normalized Area,ctrl_sec_buffer_gltpd1_pos m/z,ctrl_sec_buffer_gltpd1_pos RT mean,ctrl_sec_buffer_gltpd1_pos Normalized Area,Sample Profile (Ratio),gltpd1_pos Normalized Area,ctrl_gltpd1_pos Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.98,60.00,703.5845,8.36 - 9.02,1,3.7E6,703.5844,8.74,1.08E7,703.5840,8.80,9.7E6,703.5849,8.79,5.17E5,703.5851,8.76,5.15E5,703.5841,8.80,5.59E5,703.5845,8.80,1.81E5,20.92:18.84:1.01:1.00:1.09:0.35,1.02E7,4.43E5,23.11:1.00,8.78,,
,1.67,44.13,452.2921,5.23 - 6.04,1,8E6,452.2925,5.93,3.15E6,452.2921,5.92,1.39E6,452.2921,5.92,2.49E6,452.2921,5.91,2.57E7,452.2919,5.94,3.62E6,452.2921,5.95,1.18E7,0.12:0.05:0.10:1.00:0.14:0.46,2.27E6,1.09E7,0.21:1.00,5.93,,
,0.84,38.04,466.3347,0.84 - 1.20,1,2.4E5,-,-,0,466.3347,0.86,7.8E4,466.3349,0.86,4.3E5,466.3345,0.86,9.74E4,466.3345,0.87,4.88E5,466.3347,0.87,3.46E5,0:0.80:4.41:1.00:5.01:3.55,3.9E4,3.4E5,0.11:1.00,0.86,,
,0.88,32.77,906.8625,16.69 - 16.96,1,5.8E5,906.8638,16.78,1.07E5,906.8625,16.83,3.12E5,906.8629,16.84,5.31E5,906.8613,16.77,1.12E6,906.8628,16.82,3.16E5,906.8616,16.84,1.09E6,0.10:0.28:0.48:1.00:0.28:0.97,2.09E5,7.63E5,0.27:1.00,16.81,,
,1.35,31.73,429.2159,5.19 - 6.03,1,2.3E6,429.2158,5.93,9E5,429.2159,5.92,4.03E5,429.2159,5.92,7.47E5,429.2160,5.91,6.69E6,429.2158,5.94,1E6,429.2160,5.95,3.87E6,0.13:0.06:0.11:1.00:0.15:0.58,6.51E5,3.08E6,0.21:1.00,5.93,,
,1.08,31.47,349.1878,0.84 - 0.95,1,1.4E6,349.1880,0.86,7.27E5,349.1877,0.88,2.24E5,349.1877,0.88,5.19E6,349.1879,0.86,6.14E5,349.1880,0.88,1.07E6,349.1877,0.88,4.4E5,1.18:0.36:8.45:1.00:1.75:0.72,4.75E5,1.83E6,0.26:1.00,0.88,,
,0.85,31.03,480.3207,5.23 - 6.03,1,9.4E5,480.3210,5.93,3.66E5,480.3205,5.92,1.53E5,480.3210,5.92,2.78E5,480.3206,5.91,3.08E6,480.3203,5.94,3.91E5,480.3206,5.95,1.38E6,0.12:0.05:0.09:1.00:0.13:0.45,2.59E5,1.28E6,0.20:1.00,5.93,,
,0.85,30.61,393.2144,0.84 - 0.95,1,1.6E6,393.2140,0.86,6.94E5,393.2142,0.88,1.52E5,393.2148,0.88,6.56E6,393.2142,0.86,5.53E5,393.2146,0.88,1.15E6,393.2147,0.89,3.57E5,1.26:0.27:11.88:1.00:2.09:0.65,4.23E5,2.16E6,0.20:1.00,0.88,,
,0.87,29.03,360.3154,0.95 - 4.81,1,1.1E6,360.3149,1.34,3.54E6,360.3156,1.33,7.36E5,360.3156,1.35,3.09E5,360.3157,1.36,5.82E5,360.3154,1.33,6.78E5,360.3155,1.36,7.88E5,6.09:1.27:0.53:1.00:1.17:1.36,2.14E6,5.89E5,3.63:1.00,1.35,,
,0.70,28.59,787.6771,12.62 - 13.18,1,8.9E5,787.6768,12.85,2.85E6,787.6771,12.92,2.41E6,-,-,0,-,-,0,787.6776,12.92,6.7E4,-,-,0,1.00:0.85:0:0:0.02:0,2.63E6,1.67E4,156.99:1.00,12.89,,
,0.83,27.35,485.1160,0.84 - 0.92,1,5.2E5,-,-,0,485.1155,0.88,2.21E5,485.1160,0.88,1.06E6,485.1161,0.88,6.56E5,485.1163,0.88,6.48E5,485.1161,0.89,5.42E5,0:0.34:1.62:1.00:0.99:0.83,1.11E5,7.27E5,0.15:1.00,0.88,,
,1.07,26.63,934.8924,17.25 - 17.55,1,4.1E5,934.8917,17.38,1.08E5,934.8925,17.43,2.05E5,934.8929,17.40,3.72E5,934.8927,17.37,8.35E5,934.8917,17.42,2.26E5,934.8926,17.43,7.35E5,0.13:0.25:0.45:1.00:0.27:0.88,1.56E5,5.42E5,0.29:1.00,17.41,,
,0.80,25.94,437.2414,0.84 - 0.95,1,1.5E6,437.2411,0.86,6.27E5,-,-,0,437.2411,0.88,6.72E6,437.2415,0.86,4.89E5,437.2418,0.88,1.1E6,437.2415,0.88,3.19E5,1.28:0:13.74:1.00:2.25:0.65,3.13E5,2.16E6,0.15:1.00,0.88,,
,0.77,24.68,407.2336,5.23 - 6.03,1,8.2E5,407.2336,5.93,2.73E5,407.2337,5.92,1.03E5,407.2336,5.92,2.15E5,407.2337,5.91,2.77E6,407.2334,5.94,2.84E5,407.2337,5.95,1.27E6,0.10:0.04:0.08:1.00:0.10:0.46,1.88E5,1.14E6,0.17:1.00,5.93,,
,1.03,24.65,380.2052,0.84 - 0.95,1,4.1E5,380.2051,0.90,1.21E6,380.2055,0.88,2.3E5,380.2049,0.92,2.65E5,380.2050,0.90,2.3E5,380.2048,0.88,3.28E5,380.2057,0.92,2.18E5,5.26:1.00:1.15:1.00:1.42:0.95,7.21E5,2.61E5,2.77:1.00,0.90,,
,1.06,24.24,300.2357,0.84 - 1.00,1,4.4E5,300.2356,0.86,1.07E5,300.2354,0.88,2.36E5,300.2359,0.88,7.72E5,300.2359,0.86,2.23E5,300.2358,0.88,6.92E5,300.2358,0.88,6.22E5,0.48:1.06:3.46:1.00:3.10:2.79,1.72E5,5.77E5,0.30:1.00,0.88,,
,0.64,21.62,813.6928,12.58 - 13.34,1,1.3E6,813.6934,12.81,4E6,813.6925,12.88,3.6E6,-,-,0,813.6943,12.81,5.52E4,813.6912,12.88,1.18E5,-,-,0,72.31:65.22:0:1.00:2.13:0,3.8E6,4.33E4,87.84:1.00,12.84,,
,0.77,21.26,701.4025,0.84 - 0.94,1,1.1E5,701.4022,0.86,6.58E4,-,-,0,701.4027,0.88,2.43E5,701.4030,0.86,7.54E4,701.4030,0.88,2.61E5,701.4017,0.88,3.95E4,0.87:0:3.23:1.00:3.46:0.52,3.29E4,1.55E5,0.21:1.00,0.88,,
,0.90,21.11,316.2887,0.84 - 2.66,1,5.1E5,316.2889,1.37,1.26E6,316.2886,1.38,4.49E5,316.2886,1.35,3.24E5,316.2887,1.36,2.74E5,316.2886,1.37,2.73E5,316.2886,1.36,4.6E5,4.60:1.64:1.18:1.00:1.00:1.68,8.54E5,3.33E5,2.57:1.00,1.36,,
,0.67,20.78,920.8762,16.89 - 17.24,1,4.8E4,-,-,0,920.8762,17.09,1.84E4,920.8762,17.12,4.3E4,920.8760,17.09,1.1E5,920.8760,17.14,2.03E4,920.8767,17.15,9.39E4,0:0.17:0.39:1.00:0.19:0.86,9.18E3,6.67E4,0.14:1.00,17.12,,
,0.99,20.75,301.1449,0.80 - 0.95,1,5.9E6,301.1446,0.88,1.66E6,-,-,-,301.1451,0.88,9.02E6,301.1446,0.88,4.6E6,301.1450,0.88,7.41E6,301.1450,0.88,6.61E6,0.36:-:1.96:1.00:1.61:1.44,1.66E6,6.91E6,0.24:1.00,0.88,,
,0.82,20.25,481.2652,0.84 - 0.95,1,1.3E6,481.2654,0.86,5.31E5,481.2651,0.88,1.32E5,481.2650,0.88,5.38E6,481.2654,0.86,4.22E5,481.2652,0.88,1.02E6,481.2651,0.88,2.58E5,1.26:0.31:12.77:1.00:2.41:0.61,3.32E5,1.77E6,0.19:1.00,0.88,,
,1.28,20.13,251.1436,0.84 - 0.99,1,3.9E6,251.1434,0.90,1.27E7,251.1434,0.88,1.55E6,251.1433,0.92,2.79E6,251.1438,0.89,2.19E6,251.1440,0.89,2.17E6,251.1436,0.92,1.93E6,5.81:0.71:1.27:1.00:0.99:0.88,7.14E6,2.27E6,3.15:1.00,0.90,,
,1.10,19.38,696.6598,11.37 - 11.89,1,2E6,696.6598,11.62,5.63E5,696.6599,11.69,1.29E6,696.6599,11.66,1.32E6,696.6599,11.62,4.66E6,696.6598,11.70,9.24E5,696.6595,11.72,3.15E6,0.12:0.28:0.28:1.00:0.20:0.68,9.27E5,2.51E6,0.37:1.00,11.67,,
,1.05,19.34,251.1281,0.84 - 0.99,1,4.8E5,-,-,0,251.1280,0.88,4.38E5,251.1281,0.90,6.44E5,251.1280,0.88,5.28E5,251.1284,0.88,6.65E5,251.1280,0.88,6.33E5,0:0.83:1.22:1.00:1.26:1.20,2.19E5,6.18E5,0.35:1.00,0.89,,
,0.77,18.89,962.9197,17.73 - 17.99,1,9.1E4,962.9201,17.83,1.57E4,962.9191,17.87,4.13E4,962.9196,17.87,7.5E4,962.9203,17.85,2.09E5,962.9197,17.86,4.8E4,962.9196,17.87,1.6E5,0.08:0.20:0.36:1.00:0.23:0.76,2.85E4,1.23E5,0.23:1.00,17.86,,
,0.55,18.87,590.5582,18.35 - 23.13,1,3.1E7,-,-,0,-,-,0,590.5583,20.93,6.44E7,590.5581,20.96,5.6E7,590.5581,20.83,6.67E7,-,-,0,0:0:1.15:1.00:1.19:0,0,4.68E7,0:1.00,20.91,,
,1.12,18.02,638.5579,10.08 - 10.72,1,7.4E5,638.5578,10.34,3.32E5,638.5576,10.37,4.55E5,638.5585,10.35,1.44E6,638.5580,10.34,4.32E5,638.5577,10.40,4.88E5,638.5577,10.37,1.31E6,0.77:1.05:3.34:1.00:1.13:3.03,3.93E5,9.17E5,0.43:1.00,10.36,,
,0.58,17.99,384.1669,0.84 - 0.95,1,7.8E4,-,-,0,-,-,0,384.1664,0.88,1.52E5,-,-,0,384.1672,0.88,1.71E5,384.1671,0.88,1.45E5,0:0:1.00:0:1.12:0.96,0,1.17E5,0:1.00,0.88,,
,2.27,17.47,375.2035,0.84 - 1.57,1,2.3E7,375.2033,0.86,3.63E7,375.2038,0.86,3.88E7,375.2036,0.86,1.45E7,-,-,0,375.2032,0.87,2.53E7,375.2033,0.87,2.11E7,1.00:1.07:0.40:0:0.70:0.58,3.76E7,1.52E7,2.47:1.00,0.86,,
,0.68,17.34,343.3000,0.84 - 1.28,1,2.5E5,-,-,0,343.3001,1.17,1.46E5,343.3002,1.19,3.18E5,343.3001,1.20,2.63E5,-,-,0,343.2994,1.20,7.84E5,0:0.55:1.21:1.00:0:2.98,7.28E4,3.41E5,0.21:1.00,1.19,,
,0.95,17.25,302.2151,0.84 - 1.00,1,3E5,302.2149,0.86,1.24E5,302.2146,0.88,1.6E5,302.2151,0.88,5.48E5,302.2153,0.86,1.55E5,302.2153,0.87,3.82E5,302.2151,0.88,4.6E5,0.80:1.03:3.53:1.00:2.46:2.96,1.42E5,3.86E5,0.37:1.00,0.87,,
,0.60,17.19,785.6626,11.22 - 12.36,1,6.8E5,785.6626,11.45,2.13E6,785.6626,11.52,1.93E6,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0.90:0:0:0:0,2.03E6,0,1.00:0,11.49,,
,0.71,17.08,452.3219,0.76 - 1.03,1,3.6E5,-,-,0,452.3218,0.88,1.52E5,452.3219,0.88,9.34E5,452.3220,0.86,1.29E5,452.3218,0.88,4.48E5,452.3219,0.89,5.05E5,0:1.18:7.22:1.00:3.46:3.90,7.61E4,5.04E5,0.15:1.00,0.88,,
,0.73,16.57,424.2603,5.23 - 6.03,1,1E6,424.2606,5.93,3.31E5,424.2603,5.92,1.39E5,424.2603,5.92,2.73E5,424.2599,5.91,3.44E6,424.2606,5.94,3.82E5,424.2599,5.95,1.58E6,0.10:0.04:0.08:1.00:0.11:0.46,2.35E5,1.42E6,0.17:1.00,5.93,,
,1.02,16.34,932.8767,16.74 - 17.11,1,2.7E5,932.8765,16.90,8.74E4,932.8762,16.91,2.24E5,932.8773,16.92,3.44E5,932.8768,16.89,2.18E5,932.8764,16.90,1.59E5,932.8768,16.95,6.04E5,0.40:1.03:1.58:1.00:0.73:2.77,1.56E5,3.31E5,0.47:1.00,16.91,,
,0.63,16.27,750.5681,8.54 - 9.23,1,5.7E4,-,-,0,750.5684,9.07,1.55E4,750.5675,9.10,1.17E5,750.5687,9.06,1.08E5,750.5671,9.06,8.52E4,750.5687,9.06,1.63E4,0:0.14:1.09:1.00:0.79:0.15,7.77E3,8.16E4,0.10:1.00,9.07,,
,0.62,16.15,728.6052,11.82 - 13.38,1,3.3E5,728.6051,12.20,1.04E6,728.6053,12.24,9.61E5,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0.92:0:0:0:0,1E6,0,1.00:0,12.22,,
,0.88,16.03,810.7134,9.45 - 10.06,1,7E4,810.7137,9.82,2.53E4,810.7130,9.80,4.54E4,810.7136,9.83,9.94E4,810.7140,9.80,1.16E5,810.7128,9.84,3.02E4,810.7132,9.84,1.01E5,0.22:0.39:0.85:1.00:0.26:0.87,3.53E4,8.68E4,0.41:1.00,9.82,,
,0.86,15.97,878.8287,15.77 - 16.24,1,4.8E5,878.8285,15.96,1.04E5,878.8287,16.02,3.13E5,878.8290,16.04,4.45E5,878.8291,15.97,8.55E5,878.8286,16.03,3.37E5,878.8282,16.04,8.48E5,0.12:0.37:0.52:1.00:0.39:0.99,2.09E5,6.21E5,0.34:1.00,16.01,,
,1.78,15.59,668.5663,10.04 - 10.59,1,5.4E6,668.5662,10.34,1.69E6,668.5662,10.42,4.06E6,668.5663,10.38,3.46E6,668.5664,10.34,1.12E7,668.5663,10.40,2.94E6,668.5662,10.41,9.03E6,0.15:0.36:0.31:1.00:0.26:0.80,2.88E6,6.67E6,0.43:1.00,10.38,,
,0.60,15.54,399.3635,1.44 - 3.14,1,2.3E5,-,-,0,399.3634,2.97,5.01E4,399.3636,2.97,3.56E5,399.3634,2.98,1.07E5,-,-,0,399.3634,2.96,8.92E5,0:0.47:3.34:1.00:0:8.37,2.5E4,3.39E5,0.07:1.00,2.97,,
,0.73,14.97,613.2936,0.84 - 0.95,1,3.5E5,613.2932,0.86,1.85E5,-,-,0,613.2934,0.88,1.19E6,613.2942,0.86,1.4E5,613.2938,0.88,4.99E5,613.2932,0.88,7.98E4,1.32:0:8.51:1.00:3.56:0.57,9.27E4,4.78E5,0.19:1.00,0.88,,
,0.92,14.91,904.8447,15.92 - 16.44,1,2E5,904.8441,16.13,6.83E4,904.8442,16.14,1.63E5,904.8460,16.12,2.48E5,904.8445,16.13,1.54E5,904.8444,16.18,1.36E5,904.8448,16.20,4.16E5,0.44:1.06:1.61:1.00:0.88:2.70,1.16E5,2.38E5,0.49:1.00,16.15,,
,1.04,14.14,972.4881,4.95 - 5.09,2,3.1E5,972.4881,5.03,1.03E5,972.4878,5.05,2.41E5,972.4888,5.05,4.42E5,972.4885,5.03,2.57E5,972.4877,5.06,6.41E5,972.4880,5.08,1.66E5,0.40:0.94:1.72:1.00:2.49:0.65,1.72E5,3.76E5,0.46:1.00,5.05,,
,0.80,13.93,682.6424,10.22 - 11.15,1,1.8E5,-,-,0,682.6425,10.90,1.31E5,682.6426,10.97,9.65E4,682.6428,10.95,6E5,682.6417,11.01,5.72E4,682.6423,11.03,2.1E5,0:0.22:0.16:1.00:0.10:0.35,6.54E4,2.41E5,0.27:1.00,10.97,,
,0.73,13.82,926.7973,10.02 - 10.56,1,5.9E4,-,-,0,926.7973,10.33,3.35E4,926.7971,10.31,8.94E4,926.7975,10.26,1.13E5,926.7968,10.31,2.97E4,926.7975,10.33,8.64E4,0:0.30:0.79:1.00:0.26:0.76,1.68E4,7.96E4,0.21:1.00,10.31,,
,1.17,13.76,411.0991,0.84 - 0.92,1,4.1E5,411.0991,0.86,1.88E5,411.0992,0.88,1.94E5,411.0992,0.88,7.25E5,411.0992,0.88,4.7E5,411.0989,0.88,4.98E5,411.0992,0.88,3.96E5,0.40:0.41:1.54:1.00:1.06:0.84,1.91E5,5.22E5,0.37:1.00,0.88,,
,0.89,13.68,875.7060,17.45 - 18.15,1,1.1E5,875.7053,17.87,8.34E4,875.7062,17.95,4.99E4,875.7054,17.95,1.03E5,875.7068,17.89,2.47E5,875.7060,17.99,4.95E4,875.7061,17.95,1.45E5,0.34:0.20:0.42:1.00:0.20:0.59,6.67E4,1.36E5,0.49:1.00,17.93,,
